Type,Value
Data Source,Cold_11LTAN_Nominal_500 : TMD : THERMAL_REVAMP1_COLD_11L
Element,69607
,
,
Time[s],Temperature
255.0,-18.641605855158538
256.0,-18.647794260270352
257.0,-18.65413149306095
258.0,-18.660617117119127
259.0,-18.667250694053344
260.0,-18.67403178017434
261.0,-18.68095746736171
262.0,-18.688023878511544
263.0,-18.695230535547513
264.0,-18.702576983891124
265.0,-18.710062766728772
266.0,-18.717692278525224
267.0,-18.72547172412836
268.0,-18.733400466011204
269.0,-18.741477818049322
270.0,-18.749703099176635
271.0,-18.758080087849695
272.0,-18.76661430797348
273.0,-18.77530498978106
274.0,-18.78415132072537
275.0,-18.793152495959188
276.0,-18.802305971604312
277.0,-18.811608538908633
278.0,-18.82105949445651
279.0,-18.830658158276098
280.0,-18.840403854505958
281.0,-18.85028986574058
282.0,-18.86030698070871
283.0,-18.870454631289075
284.0,-18.88073232218001
285.0,-18.891139560896125
286.0,-18.901674767332487
287.0,-18.912335894109795
288.0,-18.923122460014095
289.0,-18.934034000673616
290.0,-18.945070055473387
291.0,-18.95623041103931
292.0,-18.967514916926387
293.0,-18.978923043499748
294.0,-18.99045426434314
295.0,-19.002108059605863
296.0,-19.01388399958113
297.0,-19.025781652531528
298.0,-19.037800439418035
299.0,-19.04993978791812
300.0,-19.062199134040064
301.0,-19.074575611356956
302.0,-19.087065332830505
303.0,-19.099667807920415
304.0,-19.112382581112577
305.0,-19.125209201194927
306.0,-19.13814314124828
307.0,-19.151178001308587
308.0,-19.164313385838366
309.0,-19.177548958830343
310.0,-19.190884386770705
311.0,-19.204316827351438
312.0,-19.217842226925832
313.0,-19.231460221204305
314.0,-19.245170484882536
315.0,-19.258972695178663
316.0,-19.272865840221392
317.0,-19.28684852524881
318.0,-19.300920346099026
319.0,-19.3150809131152
320.0,-19.329329841611575
321.0,-19.343661049980316
322.0,-19.358065736119023
323.0,-19.37254364120597
324.0,-19.387094596536958
325.0,-19.401718433228734
326.0,-19.416410299467167
327.0,-19.431162979862226
328.0,-19.445976251290464
329.0,-19.460849971006184
330.0,-19.475784000273503
331.0,-19.490776829771043
332.0,-19.505826208533467
333.0,-19.52093192390449
334.0,-19.53609379334709
335.0,-19.5513116413329
336.0,-19.56658312660179
337.0,-19.58190474675113
338.0,-19.59727625969313
