Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Value,Time[s],Value,Time[s],Value,Time[s],Value,Time[s],Value,Time[s],Value,Time[s],Value,Time[s],Value
13200,24.98424155,13200,24.59157964,13200,24.89703629,13200,26.14721005,13200,25.58524841,13200,25.57677502,13200,24.9845255,13200,25.16328616,13200,25.17824955,13200,44.570623,13200,0,13200,0,13200,0,13200,0,13200,0,13200,0,13200,0,13200,0
14400,24.97971862,14400,24.49368952,14400,24.85948199,14400,26.27481124,14400,25.62978266,14400,25.62173899,14400,24.96045895,14400,25.18277958,14400,25.19957312,14400,45.10301779,14400,0,14400,0,14400,0,14400,0,14400,0,14400,0,14400,0,14400,0
15600,24.9725484,15600,24.26400076,15600,24.80067643,15600,26.39512004,15600,25.67074685,15600,25.66306416,15600,24.93008744,15600,25.19796607,15600,25.21640789,15600,45.57860398,15600,0,15600,0,15600,0,15600,0,15600,0,15600,0,15600,0,15600,0
16800,24.96938837,16800,24.21621271,16800,24.7887818,16800,26.41420788,16800,25.67710282,16800,25.66945745,16800,24.92274855,16800,25.19984537,16800,25.21854513,16800,45.65063833,16800,0,16800,0,16800,0,16800,0,16800,0,16800,0,16800,0,16800,0
18000,24.96268106,18000,24.09080846,18000,24.76651258,18000,26.50959274,18000,25.70825377,18000,25.70105826,18000,24.88573104,18000,25.20712216,18000,25.22705915,18000,45.99609715,18000,0,18000,0,18000,0,18000,0,18000,0,18000,0,18000,0,18000,0
19200,24.95594695,19200,24.09838892,19200,24.75201959,19200,26.54949175,19200,25.72076973,19200,25.71379324,19200,24.86308654,19200,25.20844897,19200,25.22885982,19200,46.12865004,19200,0,19200,0,19200,0,19200,0,19200,0,19200,0,19200,0,19200,0
20400,24.9468761,20400,24.00334633,20400,24.70093149,20400,26.66126141,20400,25.75573894,20400,25.74927796,20400,24.8065621,20400,25.2083509,20400,25.22995671,20400,46.48617805,20400,0,20400,0,20400,0,20400,0,20400,0,20400,0,20400,0,20400,0
21600,24.93364321,21600,23.76226424,21600,24.63048851,21600,26.76608113,21600,25.78776636,21600,25.78165988,21600,24.74329768,21600,25.20273318,21600,25.22533654,21600,46.79878841,21600,0,21600,0,21600,0,21600,0,21600,0,21600,0,21600,0,21600,0
22800,24.92914784,22800,23.71820559,22800,24.61839932,22800,26.7807332,22800,25.79211987,22800,25.78603668,22800,24.73402842,22800,25.20121086,22800,25.2239465,22800,46.83962088,22800,0,22800,0,22800,0,22800,0,22800,0,22800,0,22800,0,22800,0
24000,24.92019154,24000,23.59054027,24000,24.58635287,24000,26.85204974,24000,25.8128424,24000,25.80710429,24000,24.68158079,24000,25.19202505,24000,25.21536579,24000,47.02981242,24000,0,24000,0,24000,0,24000,0,24000,0,24000,0,24000,0,24000,0
25200,24.91001404,25200,23.5884607,25200,24.56474755,25200,26.89562847,25200,25.82485178,25200,25.81943674,25200,24.64367762,25200,25.18443075,25200,25.2080949,25200,47.1341723,25200,0,25200,0,25200,0,25200,0,25200,0,25200,0,25200,0,25200,0
26400,24.89619231,26400,23.4774684,26400,24.50125289,26400,26.99450595,26400,25.85187433,26400,25.84709172,26400,24.56328381,26400,25.16232695,26400,25.18659625,26400,47.35742086,26400,0,26400,0,26400,0,26400,0,26400,0,26400,0,26400,0,26400,0
27600,24.87713345,27600,23.27674279,27600,24.44093395,27600,27.08783008,27600,25.87658254,27600,25.87230562,27600,24.48025073,27600,25.13470337,27600,25.15942304,27600,47.5463193,27600,0,27600,0,27600,0,27600,0,27600,0,27600,0,27600,0,27600,0
