Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Sum Internal Heat,Time[s],Sum Internal Heat,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Sum Internal Heat,Time[s],Sum Internal Heat,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Sum Internal Heat,Time[s],Sum Internal Heat,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Sum Internal Heat,Time[s],Sum Internal Heat,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Sum Internal Heat,Time[s],Sum Internal Heat,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Sum Internal Heat,Time[s],Sum Internal Heat,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Sum Internal Heat,Time[s],Sum Internal Heat,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Sum Internal Heat,Time[s],Sum Internal Heat,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Sum Internal Heat,Time[s],Sum Internal Heat,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Sum Internal Heat,Time[s],Sum Internal Heat,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Sum Internal Heat,Time[s],Sum Internal Heat
1000.0,25.0059924064166,1000.0,32.00610094428893,1000.0,0.0,1000.0,0.0,1000.0,25.053964667273927,1000.0,3.6283914626320883,1000.0,0.0,1000.0,0.0,1000.0,25.00151202915582,1000.0,4.290197888452722,1000.0,0.0,1000.0,0.828,1000.0,25.001128504579484,1000.0,3.6517485653566992,1000.0,0.0,1000.0,0.0,1000.0,25.001295868894818,1000.0,3.5812553369356945,1000.0,0.0,1000.0,0.04000000799999998,1000.0,25.186701259524504,1000.0,1.3997164237646207,1000.0,0.0,1000.0,0.0,1000.0,25.41099457964548,1000.0,8.869186584868492,1000.0,0.14900000000000002,1000.0,0.0,1000.0,25.401856696487354,1000.0,9.043290172467364,1000.0,0.14899999999999997,1000.0,0.14899999999999997,1000.0,25.174758043193364,1000.0,8.344939321936415,1000.0,0.0,1000.0,0.0,1000.0,25.005974864228552,1000.0,32.32247450623747,1000.0,0.0,1000.0,0.0,1000.0,41.68366287044088,1000.0,23.753517193953446,1000.0,0.50200004,1000.0,0.50200004
1200.0,25.008894473636968,1200.0,28.89960510951402,1200.0,0.0,1200.0,0.0,1200.0,25.069131392350506,1200.0,3.9973885065369066,1200.0,0.0,1200.0,0.0,1200.0,25.00236307937714,1200.0,4.712724987527867,1200.0,0.0,1200.0,0.828,1200.0,25.00153498287145,1200.0,4.172006019339534,1200.0,0.0,1200.0,0.0,1200.0,25.001741456770702,1200.0,4.103208961726494,1200.0,0.0,1200.0,0.04000000799999998,1200.0,25.20339049593179,1200.0,1.735841542183564,1200.0,0.0,1200.0,0.0,1200.0,25.432518078253313,1200.0,8.852412419666303,1200.0,0.14900000000000002,1200.0,0.0,1200.0,25.42410867739942,1200.0,9.029839414662224,1200.0,0.14899999999999997,1200.0,0.14899999999999997,1200.0,25.19031589842973,1200.0,8.354253379650633,1200.0,0.0,1200.0,0.0,1200.0,25.00896225231608,1200.0,28.40794911691637,1200.0,0.0,1200.0,0.0,1200.0,41.97573430681393,1200.0,23.984219773955598,1200.0,0.50200004,1200.0,0.50200004
1400.0,25.01681548585545,1400.0,32.80315218985331,1400.0,0.0,1400.0,0.0,1400.0,25.088413210805275,1400.0,4.466159806253571,1400.0,0.0,1400.0,0.0,1400.0,25.00375847350905,1400.0,5.110501515283388,1400.0,0.0,1400.0,0.828,1400.0,25.00312918967636,1400.0,4.546654303497405,1400.0,0.0,1400.0,0.0,1400.0,25.003407015414396,1400.0,4.48070823807927,1400.0,0.0,1400.0,0.04000000799999998,1400.0,25.252647845660153,1400.0,1.9590131234314379,1400.0,0.0,1400.0,0.0,1400.0,25.510778059872813,1400.0,8.84617464095694,1400.0,0.14900000000000002,1400.0,0.0,1400.0,25.50490458796536,1400.0,9.025207468429581,1400.0,0.14899999999999997,1400.0,0.14899999999999997,1400.0,25.246841235317184,1400.0,8.362211831768827,1400.0,0.0,1400.0,0.0,1400.0,25.017203899681444,1400.0,33.167677909606006,1400.0,0.0,1400.0,0.0,1400.0,43.003431789400516,1400.0,24.15463442271371,1400.0,0.50200004,1400.0,0.50200004
1600.0,25.028444442564897,1600.0,29.847914203231067,1600.0,0.0,1600.0,0.0,1600.0,25.0994198620326,1600.0,4.809636043516403,1600.0,0.0,1600.0,0.0,1600.0,25.00601132633454,1600.0,5.5801981705249535,1600.0,0.0,1600.0,0.828,1600.0,25.00564113089487,1600.0,5.05894489074352,1600.0,0.0,1600.0,0.0,1600.0,25.005926620480853,1600.0,4.99236430845158,1600.0,0.0,1600.0,0.04000000799999998,1600.0,25.147851062585897,1600.0,2.1104433808217684,1600.0,0.0,1600.0,0.0,1600.0,25.61377009836513,1600.0,8.840491499856896,1600.0,0.14900000000000002,1600.0,0.0,1600.0,25.61035031227762,1600.0,9.020287813964424,1600.0,0.14899999999999997,1600.0,0.14899999999999997,1600.0,25.310101533686414,1600.0,8.362325735670435,1600.0,0.0,1600.0,0.0,1600.0,25.028758535556893,1600.0,29.367905817096382,1600.0,0.0,1600.0,0.0,1600.0,44.30372616357993,1600.0,24.42545102047898,1600.0,0.50200004,1600.0,0.50200004
1800.0,25.0376950443479,1800.0,26.935526000784446,1800.0,0.0,1800.0,0.0,1800.0,25.06015446297407,1800.0,5.09538283598406,1800.0,0.0,1800.0,0.0,1800.0,25.00701045293955,1800.0,6.064902278708894,1800.0,0.0,1800.0,0.828,1800.0,25.00755084019272,1800.0,5.562428377729497,1800.0,0.0,1800.0,0.0,1800.0,25.0077012056059,1800.0,5.495157618356358,1800.0,0.0,1800.0,0.04000000799999998,1800.0,24.825992505002965,1800.0,2.0518634700608094,1800.0,0.0,1800.0,0.0,1800.0,25.69909357200433,1800.0,8.833897974560628,1800.0,0.14900000000000002,1800.0,0.0,1800.0,25.697264664006237,1800.0,9.013608609770994,1800.0,0.14899999999999997,1800.0,0.14899999999999997,1800.0,25.34854402625939,1800.0,8.348288574482014,1800.0,0.0,1800.0,0.0,1800.0,25.03781179471723,1800.0,27.182708823769637,1800.0,0.0,1800.0,0.0,1800.0,45.36983018718711,1800.0,24.702752600421917,1800.0,0.50200004,1800.0,0.50200004
2000.0,25.03869498521378,2000.0,33.1338308134292,2000.0,0.0,2000.0,0.0,2000.0,24.960261206324066,2000.0,5.421301012189229,2000.0,0.0,2000.0,0.0,2000.0,25.003987946759302,2000.0,6.55219351280437,2000.0,0.0,2000.0,0.828,2000.0,25.00733799499226,2000.0,6.060365091460914,2000.0,0.0,2000.0,0.0,2000.0,25.007230324683785,2000.0,5.992442228006773,2000.0,0.0,2000.0,0.04000000799999998,2000.0,24.385740726511713,2000.0,1.877980102051302,2000.0,0.0,2000.0,0.0,2000.0,25.766641586309905,2000.0,8.823734315870736,2000.0,0.14900000000000002,2000.0,0.0,2000.0,25.76604807724328,2000.0,9.003092992738065,2000.0,0.14899999999999997,2000.0,0.14899999999999997,2000.0,25.368672888364248,2000.0,8.325482384962568,2000.0,0.0,2000.0,0.0,2000.0,25.038359263532275,2000.0,32.74985571156787,2000.0,0.0,2000.0,0.0,2000.0,46.22613314020062,2000.0,24.9625603669916,2000.0,0.50200004,2000.0,0.50200004
2200.0,25.024908297120984,2200.0,26.098808364202952,2200.0,0.0,2200.0,0.0,2200.0,24.80602156638898,2200.0,5.537345755838822,2200.0,0.0,2200.0,0.0,2200.0,24.995045279137607,2200.0,7.030339436951382,2200.0,0.0,2200.0,0.828,2200.0,25.00373480531623,2200.0,6.551187437959052,2200.0,0.0,2200.0,0.0,2200.0,25.00328985229656,2200.0,6.4828968378605945,2200.0,0.0,2200.0,0.04000000799999998,2200.0,23.88778709421352,2200.0,1.6216994627026506,2200.0,0.0,2200.0,0.0,2200.0,25.814935006584623,2200.0,8.808827768200041,2200.0,0.14900000000000002,2200.0,0.0,2200.0,25.815149298164833,2200.0,8.987599687165055,2200.0,0.14899999999999997,2200.0,0.14899999999999997,2200.0,25.373654757847255,2200.0,8.296209028447723,2200.0,0.0,2200.0,0.0,2200.0,25.023885354336432,2200.0,25.819554775387985,2200.0,0.0,2200.0,0.0,2200.0,46.86033902282069,2200.0,25.197904400550012,2200.0,0.50200004,2200.0,0.50200004
2400.0,24.996611658448238,2400.0,31.749452729091857,2400.0,0.0,2400.0,0.0,2400.0,24.628207801348125,2400.0,5.76199027311998,2400.0,0.0,2400.0,0.0,2400.0,24.98117387641107,2400.0,7.4917283913027575,2400.0,0.0,2400.0,0.828,2400.0,24.998381245367806,2400.0,7.024072377716029,2400.0,0.0,2400.0,0.0,2400.0,24.997636519502798,2400.0,6.955285278658872,2400.0,0.0,2400.0,0.04000000799999998,2400.0,23.550052017652863,2400.0,1.3152668302324098,2400.0,0.0,2400.0,0.0,2400.0,25.83643243559558,2400.0,8.789471089548105,2400.0,0.14900000000000002,2400.0,0.0,2400.0,25.83690858143808,2400.0,8.96740047817587,2400.0,0.14899999999999997,2400.0,0.14899999999999997,2400.0,25.370345483095768,2400.0,8.26253481043657,2400.0,0.0,2400.0,0.0,2400.0,24.99497481951569,2400.0,32.193004345258636,2400.0,0.0,2400.0,0.0,2400.0,47.15836696610803,2400.0,25.393051124097134,2400.0,0.50200004,2400.0,0.50200004
2600.0,24.952898262463048,2600.0,29.502128825207883,2600.0,0.0,2600.0,0.0,2600.0,24.450562164323472,2600.0,5.833340140200267,2600.0,0.0,2600.0,0.0,2600.0,24.964384821788553,2600.0,7.949675219137298,2600.0,0.0,2600.0,0.828,2600.0,24.990939385649824,2600.0,7.499484201946717,2600.0,0.0,2600.0,0.0,2600.0,24.989918455282275,2600.0,7.43026631656589,2600.0,0.0,2600.0,0.04000000799999998,2600.0,23.24296834606115,2600.0,0.9614471292169929,2600.0,0.0,2600.0,0.0,2600.0,25.850773300158046,2600.0,8.764517067631639,2600.0,0.14900000000000002,2600.0,0.0,2600.0,25.851312775870873,2600.0,8.941259924853643,2600.0,0.14899999999999997,2600.0,0.14899999999999997,2600.0,25.36411855396209,2600.0,8.222952810129522,2600.0,0.0,2600.0,0.0,2600.0,24.950433536802418,2600.0,29.056778613096775,2600.0,0.0,2600.0,0.0,2600.0,47.36781588538245,2600.0,25.538929307308187,2600.0,0.50200004,2600.0,0.50200004
2800.0,24.891892273293887,2800.0,26.98392183526424,2800.0,0.0,2800.0,0.0,2800.0,24.272579521094965,2800.0,5.864009124265476,2800.0,0.0,2800.0,0.0,2800.0,24.945011750782303,2800.0,8.356857077534467,2800.0,0.0,2800.0,0.828,2800.0,24.980887797528663,2800.0,7.87301502425913,2800.0,0.0,2800.0,0.0,2800.0,24.979592108331047,2800.0,7.801205512079397,2800.0,0.0,2800.0,0.04000000799999998,2800.0,22.92873602300672,2800.0,0.6760913116557679,2800.0,0.0,2800.0,0.0,2800.0,25.861552793952985,2800.0,8.742770066288964,2800.0,0.14900000000000002,2800.0,0.0,2800.0,25.861988207083364,2800.0,8.91840714261212,2800.0,0.14899999999999997,2800.0,0.14899999999999997,2800.0,25.355053483216942,2800.0,8.190399634202127,2800.0,0.0,2800.0,0.0,2800.0,24.88854960742115,2800.0,27.234512581678246,2800.0,0.0,2800.0,0.0,2800.0,47.53726400673427,2800.0,25.60918065324633,2800.0,0.50200004,2800.0,0.50200004
