Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value
Data Source,Cold_11LTAN_Sceince_500_wBagHeater_Defrost : TMD : BAGHEATERSHEHE_COLD_11LT,Data Source,Cold_11LTAN_Sceince_500_wBagHeater_Defrost_2 : TMD : BAGHEATERSHEHE_COLD_11LT,Data Source,Cold_11LTAN_Sceince_500_wBagHeater_Defrost_3 : TMD : BAGHEATERSHEHE_COLD_11LT,Data Source,Cold_11LTAN_Sceince_500_wBagHeater_Defrost_4 : TMD : BAGHEATERSHEHE_COLD_11LT,Data Source,Cold_11LTAN_Sceince_500_wBagHeater_Defrost_5 : TMD : BAGHEATERSHEHE_COLD_11LT,Data Source,Cold_11LTAN_Sceince_500_wBagHeater_Defrost_6 : TMD : BAGHEATERSHEHE_COLD_11LT,Data Source,Cold_11LTAN_Sceince_500_wBagHeater_Defrost : TMD : BAGHEATERSHEHE_COLD_11LT,Data Source,Cold_11LTAN_Sceince_500_wBagHeater_Defrost_2 : TMD : BAGHEATERSHEHE_COLD_11LT,Data Source,Cold_11LTAN_Sceince_500_wBagHeater_Defrost_3 : TMD : BAGHEATERSHEHE_COLD_11LT,Data Source,Cold_11LTAN_Sceince_500_wBagHeater_Defrost_4 : TMD : BAGHEATERSHEHE_COLD_11LT,Data Source,Cold_11LTAN_Sceince_500_wBagHeater_Defrost_5 : TMD : BAGHEATERSHEHE_COLD_11LT,Data Source,Cold_11LTAN_Sceince_500_wBagHeater_Defrost_6 : TMD : BAGHEATERSHEHE_COLD_11LT
Element,170,Element,170,Element,170,Element,170,Element,170,Element,170,Element,567,Element,567,Element,567,Element,567,Element,567,Element,567
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature
0.0,-10.223133684100596,0.0,-10.223133684100596,0.0,-10.223133684100596,0.0,-10.223133684100596,0.0,-10.223133684100596,0.0,-10.223133684100596,0.0,-10.223883925053109,0.0,-10.223883925053109,0.0,-10.223883925053109,0.0,-10.223883925053109,0.0,-10.223883925053109,0.0,-10.223883925053109
10.0,-10.223115859296557,10.0,-10.223115859296557,10.0,-10.223115859296557,10.0,-10.223115859296557,10.0,-10.223115859296557,10.0,-10.223115859296557,10.0,-10.223862440060312,10.0,-10.223862440060312,10.0,-10.223862440060312,10.0,-10.223862440060312,10.0,-10.223862440060312,10.0,-10.223862440060312
20.0,-10.223098160151878,20.0,-10.223098160151878,20.0,-10.223098160151878,20.0,-10.223098160151878,20.0,-10.223098160151878,20.0,-10.223098160151878,20.0,-10.223841038768562,20.0,-10.223841038768562,20.0,-10.223841038768562,20.0,-10.223841038768562,20.0,-10.223841038768562,20.0,-10.223841038768562
30.0,-10.223080586607031,30.0,-10.223080586607031,30.0,-10.223080586607031,30.0,-10.223080586607031,30.0,-10.223080586607031,30.0,-10.223080586607031,30.0,-10.223819721710955,30.0,-10.223819721710955,30.0,-10.223819721710955,30.0,-10.223819721710955,30.0,-10.223819721710955,30.0,-10.223819721710955
40.0,-10.223063138085207,40.0,-10.223063138085207,40.0,-10.223063138085207,40.0,-10.223063138085207,40.0,-10.223063138085207,40.0,-10.223063138085207,40.0,-10.223798489446569,40.0,-10.223798489446569,40.0,-10.223798489446569,40.0,-10.223798489446569,40.0,-10.223798489446569,40.0,-10.223798489446569
